Gene dn_damaging_DD dn_lof_DD mut_damaging mut_lof BF PP
ABCA2 0 0 2.46563e-06 5.42364453615675e-06 0.0136493289106852 0.00041273666031344
ABCA3 1 0 1.496e-05 3.68585268993631e-06 0.109225246947986 0.00329330114575158
ABCA4 1 0 1.40623e-05 5.94515047348635e-06 0.0264416372036387 0.00079924904625559
ABCA5 0 0 6.09742e-06 4.34729569887361e-06 0.0152586338803614 0.000461377344942146
ABCA6 0 0 4.05259e-06 3.70461868747216e-06 0.0341083972439193 0.00103075265969361
ABCA7 0 0 1.04146e-10 5.11465923858585e-06 0.0263771326483455 0.000797300827282103
ABCA8 0 0 5.31183e-06 3.91951322683487e-06 0.0235597656282055 0.000712201007050963
ABCA9 0 0 4.66181e-06 4.49757097212515e-06 0.0176125308334147 0.000532514538854548
ABCB1 0 0 9.90375e-06 3.36758548465779e-06 0.0159777155979574 0.000483109810369837
ABCB10 0 0 5.41074e-06 1.51768152166022e-06 0.127273742089263 0.00383540252244122
ABCB11 0 0 9.53304e-06 3.23534983777815e-06 0.0186485049630777 0.000563819536874919
ABCB4 0 0 1.01733e-05 3.46634216731508e-06 0.0142561914717113 0.000431079426758089
ABCB5 0 0 4.90227e-06 3.99014045971478e-06 0.0240728734693228 0.000727700736502572
ABCB6 0 0 9.02535e-06 2.51347067773598e-06 0.0338313526070304 0.00102238895569721
ABCB8 0 0 8.32576e-06 1.74975238232126e-06 0.0655928121120002 0.00198032461882064
ABCB9 0 0 7.99562e-06 1.39314312510681e-06 0.0895674398718721 0.00270219109556477
ABCC1 0 0 1.83215e-05 3.76799229200647e-06 0.0031727792188103 9.59708195520811e-05
ABCC10 0 1 1.27965e-05 3.655563214336e-06 0.674680361427034 0.0200015878373208
ABCC11 0 0 7.71673e-06 3.24350412298892e-06 0.0251241248821913 0.000759454961773411
ABCC12 1 0 9.89936e-06 3.27699734325774e-06 0.344882929631355 0.0103253593192223
ABCC13 0 0 1.04146e-10 2.43032066361103e-07 0.837580988242199 0.024711602055155
ABCC2 0 0 1.08141e-05 3.94603987624866e-06 0.00916299595390772 0.000277113805204825
ABCC3 0 0 1.57256e-05 3.46416842295513e-06 0.00586200541953842 0.00017730061454326
ABCC4 1 0 8.90039e-06 3.50152400806705e-06 0.350831759320473 0.0105015894288496
ABCC5 0 0 1.30635e-05 3.99196359670286e-06 0.00616492596596829 0.000186460958274068
ABCC5-AS1 0 0 1.04146e-10 9.10378842049665e-08 0.935702334769146 0.0275268406877582
ABCC6 0 0 1.04146e-10 3.60423969619902e-06 0.0756325718980271 0.00228274491970178
ABCC6P1 0 0 1.04146e-10 4.0981171823113e-07 0.741867111645954 0.0219496877905787
ABCC6P2 0 0 1.04146e-10 4.6642705721345e-08 0.96650702455617 0.0284073211623522
ABCC8 0 0 1.17344e-05 4.12791920129708e-06 0.00694457756496911 0.000210036918641184
ABCC9 1 0 1.10681e-05 4.08034708642835e-06 0.160152015372248 0.00482141442917324
ABCD2 0 0 5.71191e-06 1.42704472456911e-06 0.128961737340499 0.00388607269332718
ABCD3 0 0 7.09049e-06 2.95970385894288e-06 0.0341374442602997 0.00103162955232181
ABCD4 0 0 5.67154e-06 1.93890518199596e-06 0.0899621515304321 0.0027140669685815
ABCE1 0 0 4.27255e-06 2.24632378585178e-06 0.0920898357364517 0.00277807872037598
ABCF1 1 0 6.39956e-06 2.95216084684713e-06 0.807943049549379 0.0238580400645916
ABCF2 1 0 5.28804e-06 2.08413302665767e-06 1.83297453864487 0.0525363643904212
ABCF3 0 0 7.21114e-06 1.99167668530929e-06 0.0665775894326891 0.00200999645110131
ABCG1 0 0 7.33343e-06 1.7444832514234e-06 0.0778326697195938 0.00234899236764503
ABCG2 0 0 3.8055e-06 2.25855716714583e-06 0.09907958685264 0.00298830877960361
ABCG4 0 0 7.98824e-07 1.36844155942114e-06 0.320632983123638 0.00960632086056204
ABCG5 0 0 3.35843e-06 1.55432313277271e-06 0.177422199277949 0.0053385617731466
ABCG8 0 0 4.2081e-06 1.52858893309901e-06 0.155657395597847 0.00468673700408568
ABHD1 0 0 2.56407e-06 1.04739097501498e-06 0.29424307265904 0.00882264190941335
ABHD10 0 0 1.84819e-06 1.01270879739946e-06 0.342888938516606 0.010266274615401
ABHD11 0 0 2.80089e-06 1.11742407840863e-06 0.268203423892003 0.00804814779784695
ABHD12 0 0 3.24709e-06 1.42873302499533e-06 0.198036856260137 0.00595515450969339
ABHD12B 0 0 1.23097e-06 9.9282025398005e-07 0.388728895385443 0.0116227949958509
ABHD13 0 0 2.02317e-06 6.4348276335503e-07 0.434088881955477 0.0129614565254411
ABHD14A 0 0 1.40356e-06 6.2373756516196e-07 0.492207546409552 0.0146713611091913
ABHD14A-ACY1 0 0 1.04146e-10 7.32326225258925e-07 0.587058679033566 0.0174492804910088
ABHD14B 0 0 1.28711e-06 4.40278398559254e-07 0.574268396075711 0.0170756035683522
ABHD15 0 0 2.50932e-06 1.05473807217561e-06 0.295554505195681 0.00886161570072941
ABHD16A 1 0 5.46531e-06 2.24374591461954e-06 1.58353402517182 0.0457137750732221
ABHD16B 1 0 3.74611e-06 7.49115387002065e-07 6.36212660285206 0.161398338127595
ABHD17A 0 0 6.71613e-06 6.7301676031069e-07 0.187126832372042 0.00562892653941114
ABHD17B 0 0 2.90008e-06 7.8719208841121e-07 0.334557823775992 0.0100193358741276
ABHD17C 0 0 1.69765e-06 5.86568714896275e-07 0.479588929946219 0.014300613494698
ABHD2 0 0 3.27749e-06 1.24213917761571e-06 0.225290423956997 0.0067691473309208
ABHD3 0 0 2.19358e-06 1.06833929391284e-06 0.309631186215956 0.00927976043619505
ABHD4 0 0 3.32125e-06 1.25523128581075e-06 0.221456567072322 0.00665472063350204
ABHD5 0 0 2.4136e-06 1.35340925999832e-06 0.242410264756223 0.00727979084392148
ABHD6 0 0 2.27478e-06 8.1742425502339e-07 0.365855105096902 0.0109463667547587
ABHD8 0 0 1.49875e-06 9.557476000889e-07 0.380457688355714 0.0113783040492415
ABI1 0 0 3.83684e-06 1.51379116750088e-06 0.167902843349012 0.00505357574082831
ABI2 0 0 4.3331e-06 1.29495582525917e-06 0.180157139434291 0.00542040894645483
ABI3 0 0 1.72819e-06 8.26295155470105e-07 0.400905878318333 0.0119825178908925
ABI3BP 1 0 5.03496e-06 3.52473203280543e-06 0.691600901581473 0.0204929347150825
ABL1 0 1 6.87951e-06 2.29920742923942e-06 4.74997769703022 0.125638724363429
ABL2 0 0 5.28979e-06 3.05065037357452e-06 0.0435891006987735 0.0013168813606297
ABLIM1 1 0 8.22199e-06 2.47283356788614e-06 0.818950874744808 0.0241752358250088
ABLIM2 1 0 8.5269e-06 2.57235100669157e-06 0.722875991326954 0.0213998202222913
ABLIM3 0 0 5.26524e-06 2.66531205181812e-06 0.0575129345026381 0.00173680723084449
