Gene dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof BF PP
ABHD13 0 0 2.02317e-06 6.4348276335503e-07 0.903516754227539 0.0140145068247563
ABHD14A 0 0 1.40356e-06 6.2373756516196e-07 0.924503011456218 0.0143353595835743
ABHD14A-ACY1 0 0 1.04146e-10 7.32326225258925e-07 0.967110428284674 0.0149861300145793
ABHD14B 0 0 1.28711e-06 4.40278398559254e-07 0.936153465353408 0.0145133898470111
ABHD15 0 0 2.50932e-06 1.05473807217561e-06 0.871507349393262 0.0135247218993676
ABHD16A 0 0 5.46531e-06 2.24374591461954e-06 0.743200232355124 0.0115565643596534
ABHD16B 0 0 3.74611e-06 7.49115387002065e-07 0.845725131342712 0.0131298669623655
ABHD17A 0 0 6.71613e-06 6.7301676031069e-07 0.763762824764403 0.0118725110088433
ABHD17B 0 0 2.90008e-06 7.8719208841121e-07 0.870036034276157 0.0135021971944968
ABHD17C 0 0 1.69765e-06 5.86568714896275e-07 0.916425667811928 0.0142118921571728
ABHD2 0 0 3.27749e-06 1.24213917761571e-06 0.840799048724964 0.0130543879860665
ABHD3 0 0 2.19358e-06 1.06833929391284e-06 0.880807110573414 0.013667070308706
ABHD4 0 0 3.32125e-06 1.25523128581075e-06 0.838990649497443 0.0130266762309952
ABHD5 0 0 2.4136e-06 1.35340925999832e-06 0.862644370765096 0.0133890209343922
ABHD6 0 0 2.27478e-06 8.1742425502339e-07 0.888380524331978 0.0137829637346686
ABHD8 0 0 1.49875e-06 9.557476000889e-07 0.907516901306041 0.014075680017622
ABI1 0 0 3.83684e-06 1.51379116750088e-06 0.814095761442635 0.0126450308658901
ABI2 0 0 4.3331e-06 1.29495582525917e-06 0.807893218574778 0.012549898273061
ABI3 0 0 1.72819e-06 8.26295155470105e-07 0.905466942242269 0.0140443314833143
ABI3BP 0 0 5.03496e-06 3.52473203280543e-06 0.711858546370425 0.0110746068083044
ABL1 0 0 6.87951e-06 2.29920742923942e-06 0.705063131763589 0.0109700481465744
ABL2 0 0 5.28979e-06 3.05065037357452e-06 0.720845637707906 0.011212854083461
ABLIM1 0 0 8.22199e-06 2.47283356788614e-06 0.667023640241611 0.0103843392909508
ABLIM2 0 0 8.5269e-06 2.57235100669157e-06 0.656878276696856 0.0102280099789097
ABLIM3 0 0 5.26524e-06 2.66531205181812e-06 0.734251896693788 0.011419009028296
ABP1 0 0 7.00464e-06 1.24806863220958e-06 0.736411395577335 0.0114522087155977
ABR 0 0 8.62184e-06 2.53128789463326e-06 0.655901434480071 0.0102129552677036
ABRA 0 0 2.34204e-06 8.42990365486115e-07 0.885223239255554 0.0137346521641566
ABRACL 0 0 1.04146e-10 2.71226335151795e-07 0.987685666117253 0.0153000812496314
ABT1 0 0 4.01816e-06 3.90952347841402e-07 0.85139691299065 0.0132167574747565
ABTB1 0 0 4.60159e-06 1.53684209288757e-06 0.791444538046472 0.0122975249474738
ABTB2 0 0 6.10082e-06 2.28475492246088e-06 0.725275814506068 0.0112809887036257
ACAA1 0 0 6.29999e-06 1.17536938753252e-06 0.757545327274624 0.0117769997341124
ACAA2 0 0 3.9655e-06 1.04229216503248e-06 0.828003902015785 0.0128582827994238
ACACA 0 0 1.04146e-10 7.5111699642272e-06 0.710393226028773 0.0110520623076565
ACACB 0 0 3.12375e-05 6.33097959654995e-06 0.249849262407166 0.00391512382109039
ACAD10 0 0 7.32102e-06 3.3150685378845e-06 0.662724440635339 0.0103180992060122
ACAD11 0 0 1.04146e-10 2.37567914617692e-06 0.897268299588243 0.0139189356664315
ACAD8 0 0 4.81218e-06 1.51720082185174e-06 0.786252542529531 0.012217836986505
ACAD9 0 0 5.51181e-06 1.69543367397921e-06 0.760758703188152 0.0118263649269775
ACADL 0 0 2.55187e-06 1.41676582864237e-06 0.855933527703572 0.013286246453391
ACADM 0 0 3.90498e-06 1.35195578692763e-06 0.818144694449663 0.0127071222005721
ACADS 0 0 6.55382e-06 9.70502362154595e-07 0.757810016939318 0.0117810661912205
ACADSB 0 0 3.08118e-06 1.04887960566711e-06 0.854187861445116 0.0132595086064178
ACADVL 0 0 6.54345e-06 1.76893232505997e-06 0.730972464625212 0.0113685874560209
ACAN 0 0 1.04146e-10 3.5806626085595e-06 0.849342290433458 0.0131852828530281
ACAP1 0 0 5.36361e-06 2.52470464880402e-06 0.736396446870574 0.0114519789049494
ACAP2 0 0 4.90941e-06 2.80897471730203e-06 0.73873320247215 0.0114879012050431
ACAP3 0 0 8.35266e-06 2.08661212157331e-06 0.675738124184448 0.0105185808417582
ACAT1 0 0 3.85842e-06 9.49637066676745e-07 0.834682279417733 0.0129606488658149
ACAT2 0 0 3.69329e-06 7.6272411166732e-07 0.84678805237426 0.0131461518560924
ACBD3 0 0 2.84665e-06 1.69483453639695e-06 0.836330061041054 0.0129859027719595
ACBD4 0 0 1.46977e-06 1.84337602067363e-06 0.872403004428929 0.0135384331866819
ACBD5 0 0 2.67845e-06 1.48508058227357e-06 0.849436646674308 0.0131867283337826
ACBD6 0 0 7.70485e-07 7.947245843371e-07 0.938237934541264 0.0145452357806036
ACBD7 0 0 1.04146e-10 2.5689822851216e-07 0.988332118354604 0.0153099420231016
ACCS 0 0 3.44536e-06 1.22391352155694e-06 0.836491454897666 0.0129883762252095
ACCSL 0 0 2.35512e-06 1.32625408913575e-06 0.86551284858644 0.0134329442517577
ACD 0 0 5.34518e-08 1.48590868571679e-06 0.932644264188321 0.0144597726097212
ACE 0 0 1.51566e-05 3.61323689573773e-06 0.495798222507656 0.00773930280367326
ACER1 0 0 1.98982e-06 5.6922839064614e-07 0.907661518122389 0.0140778914622292
ACER2 0 0 2.81609e-06 7.01400982045525e-07 0.87606290684051 0.0135944574639572
ACER3 0 0 1.36298e-06 1.08740154073676e-06 0.906453153546118 0.0140594131449586
ACHE 0 0 7.03621e-06 1.60267011040443e-06 0.723784760143104 0.011258057840399
ACIN1 0 0 2.24629e-07 4.5328501450693e-06 0.806837305834989 0.0125337011994805
ACLY 0 0 1.74155e-05 3.30724220304839e-06 0.464385455411614 0.00725251256114991
ACMSD 0 0 3.19945e-06 9.97405189629315e-07 0.852603579532732 0.0132352413807596
ACN9 0 0 8.07955e-07 2.88079906639658e-07 0.958911489027674 0.0148609691297661
ACO1 0 0 1.15125e-05 2.76998963797752e-06 0.585801310447464 0.00913140253143126
ACO2 0 0 1.06654e-05 1.77604202362486e-06 0.631562262231021 0.00983770151913045
ACOT1 0 0 4.2143e-06 6.94083031628055e-07 0.833864605632827 0.0129481167151611
ACOT11 0 0 6.74704e-06 2.11804333884706e-06 0.714255562091296 0.0111114835743969
ACOT12 0 0 4.47185e-06 1.76907547809255e-06 0.786722427932945 0.0122250494267203
ACOT13 0 0 1.32983e-06 3.58778111867517e-07 0.938215039895907 0.0145448860138343
ACOT2 0 0 4.39283e-06 9.23944898800755e-07 0.819945497155146 0.0127347354222737
ACOT4 0 0 3.772e-06 6.75251025146635e-07 0.847801056655387 0.013161671480716
ACOT6 0 0 1.11306e-06 2.55517006761464e-07 0.949955957245069 0.0147242221334751
ACOT7 0 0 4.35907e-06 1.03645695117195e-06 0.816724943811294 0.0126853508815607
ACOT8 0 0 3.36146e-06 1.11399425662309e-06 0.843208585695814 0.0130913091065225
ACOX1 0 0 6.93109e-06 1.96281298882024e-06 0.714651756658265 0.0111175785446476
ACOX2 0 0 5.16846e-06 1.57184239381381e-06 0.774438311854311 0.0120364614848007
ACOX3 0 0 6.34354e-06 2.08588482549042e-06 0.725608783577727 0.0112861092758944
ACOXL 0 0 1.92829e-06 1.59458702600992e-06 0.868070225271559 0.0134721005624935
ACP1 0 0 7.7609e-07 7.25419484732265e-07 0.941022725696804 0.0145877778246529
ACP2 0 0 4.85377e-06 1.0877975444261e-06 0.8006245135241 0.0124383898977014
ACP5 0 0 2.70664e-06 8.36430362366985e-07 0.874076295269022 0.0135640480226703
ACP6 0 0 7.09172e-07 9.9083762864852e-07 0.931911550559323 0.0144485767100231
ACPL2 0 0 4.28481e-06 9.3427982587791e-07 0.822709419983838 0.0127771139699185
ACPP 0 0 2.92213e-06 1.18512761032634e-06 0.853708913972499 0.0132521724581724
ACPT 0 0 3.45725e-06 1.05274179141276e-06 0.84269420285244 0.0130834274959271
ACR 0 0 6.92898e-07 1.20732629378004e-06 0.923286139494809 0.0143167608866637
ACRBP 0 0 2.09221e-06 1.63508787446513e-06 0.861427409400015 0.0133703851376068
ACRV1 0 0 3.78274e-07 6.65146875483265e-07 0.957089276761706 0.0148331478331561
ACSBG1 0 0 6.79306e-06 1.60659308264905e-06 0.729917812789809 0.0113523709931736
ACSBG2 0 0 1.04146e-10 1.73598905609837e-06 0.923822383009273 0.014324956930431
ACSF2 0 0 6.08774e-06 1.84173222358415e-06 0.740417451048842 0.0115137910754578
ACSF3 0 0 4.36809e-06 1.60309637543282e-06 0.795627114859627 0.012361710763956
ACSL1 0 0 6.96701e-06 2.47098679482337e-06 0.69739852606136 0.0108520890102651
