geneName dn_damaging_EPI dn_lof_EPI mut_damaging mut_lof dn_damaging_ID dn_lof_ID dn_damaging_DD dn_lof_DD dn_damaging_ASD dn_lof_ASD dn_silentCFPK_SCZ dn_damaging_SCZ dn_lof_SCZ mut_silentCFPK dn_lof_CHD dn_damaging_CHD
ABCB11 0 0 9.53304e-06 3.23534983777815e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCB4 0 0 1.01733e-05 3.46634216731508e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCB5 0 0 4.90227e-06 3.99014045971478e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCB6 0 0 9.02535e-06 2.51347067773598e-06 0 0 0 0 0 0 0 0 0 3.98868e-06 0 0
ABCB8 0 0 8.32576e-06 1.74975238232126e-06 0 0 0 0 0 0 0 0 0 1.53528e-06 0 0
ABCB9 0 0 7.99562e-06 1.39314312510681e-06 0 0 0 0 0 0 0 0 0 3.42209e-07 0 0
ABCC1 0 0 1.83215e-05 3.76799229200647e-06 0 0 0 0 0 0 0 0 0 5.87189e-07 0 0
ABCC10 0 0 1.27965e-05 3.655563214336e-06 0 0 0 1 0 0 0 0 0 4.91433e-06 0 0
ABCC11 0 0 7.71673e-06 3.24350412298892e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCC12 0 0 9.89936e-06 3.27699734325774e-06 0 0 1 0 0 0 0 0 0 1.64153e-07 0 0
ABCC13 0 0 1.04146e-10 2.43032066361103e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCC2 0 0 1.08141e-05 3.94603987624866e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCC3 0 0 1.57256e-05 3.46416842295513e-06 0 1 0 0 0 0 0 0 0 4.99635e-07 0 0
ABCC4 0 0 8.90039e-06 3.50152400806705e-06 0 0 1 0 0 0 0 0 0 7.00108e-07 0 0
ABCC5 0 0 1.30635e-05 3.99196359670286e-06 0 0 0 0 2 0 0 0 0 1.11606e-10 0 0
ABCC5-AS1 0 0 1.04146e-10 9.10378842049665e-08 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCC6 0 0 1.04146e-10 3.60423969619902e-06 0 0 0 0 0 0 0 0 0 3.42046e-06 0 0
ABCC6P1 0 0 1.04146e-10 4.0981171823113e-07 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCC6P2 0 0 1.04146e-10 4.6642705721345e-08 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCC8 0 0 1.17344e-05 4.12791920129708e-06 1 0 0 0 0 0 0 0 0 5.26359e-06 0 0
ABCC9 0 0 1.10681e-05 4.08034708642835e-06 0 0 1 0 0 0 0 0 0 1.11606e-10 0 0
ABCD2 0 0 5.71191e-06 1.42704472456911e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCD3 0 0 7.09049e-06 2.95970385894288e-06 0 0 0 0 0 0 0 0 0 1.26725e-06 0 0
ABCD4 0 0 5.67154e-06 1.93890518199596e-06 0 0 0 0 0 0 0 0 0 7.34352e-07 0 0
ABCE1 0 0 4.27255e-06 2.24632378585178e-06 0 0 0 0 0 0 0 0 0 1.11606e-10 0 0
ABCF1 0 0 6.39956e-06 2.95216084684713e-06 0 0 1 0 0 0 0 0 0 9.10059e-07 0 0
ABCF2 0 0 5.28804e-06 2.08413302665767e-06 0 0 1 0 0 0 0 0 0 1.91526e-07 0 0
ABCF3 0 0 7.21114e-06 1.99167668530929e-06 0 0 0 0 0 0 0 0 0 2.62842e-06 0 0
